especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
MRCLO,ARS,CI,49999.5,2.88,49999.5,48599.0,16:30:22,ONS
MRCLO,ARS,48hs,49000.0,0.0,49000.0,49000.0,17:00:23,ONS
MRCMO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
MRCMO,ARS,24hs,26500.0,16.74,26500.0,22700.0,17:00:10,ONS
MRCMO,ARS,48hs,26450.0,-0.86,26700.0,26679.0,17:00:26,ONS
MRECD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
MRECD,MEP,48hs,104.1,1.76,102.9,102.3,17:00:29,ONS
MRFCD,MEP,48hs,106.0,-0.19,106.0,106.2,17:00:02,ONS
MSSAD,MEP,48hs,102.0,-1.92,101.5,104.0,17:00:17,ONS
MSSAO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
MSSAO,ARS,48hs,50500.0,1.0,50000.0,50000.0,17:00:23,ONS
MTCGD,MEP,CI,104.1,-5.36,105.0,110.0,16:30:06,ONS
MTCGD,MEP,48hs,106.9,0.56,107.0,106.3,17:00:22,ONS
MTCGO,ARS,CI,51799.0,1.12,50050.0,51224.0,16:30:13,ONS
