especie,nombre,ultimo,var,hora
AGTI,Agiliti Inc. Common Stock,$16.31,0.803%,2023-06-27 20:16:06.697
AGX,Argan Inc. Common Stock,$39.98,0.858%,2023-06-27 20:16:06.697
AGYS,Agilysys Inc. Common Stock (DE),$64.22,0.328%,2023-06-27 20:16:06.697
AHCO,AdaptHealth Corp. Common Stock,$11.28,19.618%,2023-06-27 20:16:06.697
AHG,Akso Health Group ADS,$0.315,-5.377%,2023-06-27 20:16:06.697
AHH,Armada Hoffler Properties Inc. Common Stock,$11.61,-1.023%,2023-06-27 20:16:06.697
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,$22.75,-0.044%,2023-06-27 20:16:06.697
AHI,Advanced Health Intelligence Ltd. American Depositary Shares,$1.28,13.274%,2023-06-27 20:16:06.697
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,$24.80,-0.319%,2023-06-27 20:16:06.697
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,$18.57,-0.215%,2023-06-27 20:16:06.697
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,$18.09,0.00%,2023-06-27 20:16:06.697
AHT,Ashford Hospitality Trust Inc Common Stock,$3.47,-0.287%,2023-06-27 20:16:06.697
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,$17.80,1.079%,2023-06-27 20:16:06.697
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,$15.49,-0.065%,2023-06-27 20:16:06.697
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,$15.36,-3.098%,2023-06-27 20:16:06.697
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,$16.00,3.159%,2023-06-27 20:16:06.697
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,$15.98,0.00%,2023-06-27 20:16:06.697
AI,C3.ai Inc. Class A Common Stock,$33.37,4.412%,2023-06-27 20:16:06.697
AIB,AIB Acquisition Corporation Class A Ordinary Shares,$10.8514,-0.262%,2023-06-27 20:16:06.697
AIBBR,AIB Acquisition Corporation Right,$0.1052,0.00%,2023-06-27 20:16:06.697
AIBBU,AIB Acquisition Corporation Unit,$10.9087,0.00%,2023-06-27 20:16:06.697
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$24.35,0.035%,2023-06-27 20:16:06.697
AIF,Apollo Tactical Income Fund Inc. Common Stock,$12.41,0.081%,2023-06-27 20:16:06.697
AIG,American International Group Inc. New Common Stock,$56.45,1.401%,2023-06-27 20:16:06.697
